"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00500 4471977 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00509 4471528 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00519 4471079 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00529 4470630 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00539 4470181 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00549 4469732 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00559 4469283 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00569 4468834 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00579 4468385 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00589 4467936 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00599 4467487 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00609 4467038 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00619 4466589 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00629 4466140 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00639 4465691 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00649 4465242 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00659 4464793 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00669 4464344 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00679 4463895 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00689 4463446 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00699 4462997 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00709 4462548 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00719 4462099 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00729 4461650 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00739 4461201 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00749 4460752 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00759 4460303 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00769 4459854 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00779 4459405 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00789 4458956 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00799 4458507 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00809 4458058 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00819 4457609 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00829 4457160 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00839 4456711 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00849 4456262 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00859 4455813 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00869 4455364 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00879 4454915 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00889 4454466 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00899 4454017 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00909 4453568 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00919 4453119 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00929 4452670 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00939 4452221 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00949 4451772 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00959 4451323 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00969 4450874 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00979 4450425 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00989 4449976 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00999 4449527 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01009 4449078 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01019 4448629 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01029 4448180 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01039 4447731 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01049 4447282 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01059 4446833 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
