"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.03914 0.5893 0.6163
0.03924 0.6067 0.6343
0.03934 0.6013 0.6259
0.03943 0.6085 0.6313
0.03953 0.5911 0.6205
0.03963 0.6133 0.6379
0.03973 0.5959 0.6235
0.03983 0.6247 0.6469
0.03993 0.5821 0.6109
0.04003 0.6192 0.6444
0.04013 0.6175 0.6421
0.04023 0.5911 0.6169
0.04033 0.5941 0.6199
0.04043 0.6073 0.6349
0.04053 0.6139 0.6373
0.04063 0.6133 0.6391
0.04073 0.6091 0.6349
0.04083 0.6229 0.6433
0.04092 0.6031 0.6295
0.04102 0.6103 0.6361
0.04112 0.6013 0.6259
0.04122 0.6157 0.6397
0.04132 0.5988 0.6258
0.04142 0.6145 0.6379
0.04152 0.6373 0.6601
0.04162 0.6049 0.6313
0.04172 0.6037 0.6301
0.04182 0.6091 0.6325
0.04192 0.5995 0.6277
0.04202 0.6319 0.6553
0.04212 0.6109 0.6349
0.04222 0.6181 0.6427
0.04232 0.6013 0.6253
0.04241 0.6241 0.6487
0.04251 0.6186 0.6444
0.04261 0.6193 0.6427
0.04271 0.6079 0.6355
0.04281 0.6121 0.6367
0.04291 0.6091 0.6355
0.04301 0.6133 0.6379
0.04311 0.6241 0.6487
0.04321 0.6091 0.6343
0.04331 0.6097 0.6349
0.04341 0.6175 0.6427
0.04351 0.6037 0.6289
0.04361 0.6199 0.6439
0.04371 0.6061 0.6337
0.04381 0.6048 0.6318
0.04390 0.6097 0.6337
0.04400 0.6025 0.6301
0.04410 0.6043 0.6313
0.04420 0.6085 0.6325
0.04430 0.6169 0.6409
0.04440 0.6859 0.7063
0.04450 0.6067 0.6295
0.04460 0.6181 0.6433
0.04470 0.6079 0.6325
0.04480 0.6025 0.6295
0.04490 0.6013 0.6271
0.04500 0.6204 0.6444
0.04510 0.6121 0.6385
0.04520 0.6157 0.6409
0.04530 0.5995 0.6253
0.04539 0.6085 0.6331
0.04549 0.6031 0.6301
0.04559 0.6037 0.6289
0.04569 0.6121 0.6373
0.04579 0.6181 0.6427
0.04589 0.6109 0.6367
0.04599 0.6043 0.6319
0.04609 0.6139 0.6373
0.04619 0.6084 0.6354
0.04629 0.6079 0.6331
0.04639 0.6151 0.6409
0.04649 0.5995 0.6271
0.04659 0.6175 0.6391
0.04669 0.6181 0.6445
0.04679 0.6127 0.6385
0.04688 0.6013 0.6283
0.04698 0.6403 0.6601
0.04708 0.6007 0.6247
0.04718 0.6037 0.6319
0.04728 0.6331 0.6553
0.04738 0.6385 0.6613
0.04748 0.6168 0.6426
0.04758 0.6211 0.6433
0.04768 0.6217 0.6463
0.04778 0.6199 0.6457
0.04788 0.6115 0.6373
0.04798 0.5851 0.6151
0.04808 0.6307 0.6529
0.04818 0.6037 0.6301
0.04828 0.6199 0.6439
0.04837 0.6139 0.6403
0.04847 0.6301 0.6529
0.04857 0.6085 0.6343
0.04867 0.6108 0.6390
0.04877 0.6265 0.6475
0.04887 0.6229 0.6493
0.04897 0.6265 0.6505
0.04907 0.6211 0.6463
0.04917 0.6271 0.6499
0.04927 0.6013 0.6283
0.04937 0.6091 0.6367
0.04947 0.6229 0.6457
0.04957 0.5929 0.6205
0.04967 0.6163 0.6403
0.04977 0.6067 0.6325
0.04986 0.6259 0.6493
0.04996 0.6078 0.6354
0.05006 0.6373 0.6595
0.05016 0.6181 0.6427
0.05026 0.6421 0.6631
0.05036 0.6595 0.6823
0.05046 0.6289 0.6529
0.05056 0.6325 0.6553
0.05066 0.6193 0.6451
0.05076 0.6253 0.6499
0.05086 0.6037 0.6301
0.05096 0.6109 0.6385
0.05106 0.6133 0.6397
0.05116 0.6252 0.6510
0.05126 0.6181 0.6409
0.05135 0.6241 0.6493
0.05145 0.6295 0.6547
0.05155 0.6301 0.6541
0.05165 0.6247 0.6493
0.05175 0.6217 0.6463
0.05185 0.6217 0.6481
0.05195 0.6337 0.6559
0.05205 0.6433 0.6655
0.05215 0.6343 0.6589
0.05225 0.6247 0.6499
0.05235 0.6348 0.6594
0.05245 0.6031 0.6301
0.05255 0.6397 0.6607
0.05265 0.6181 0.6451
0.05274 0.6307 0.6547
0.05284 0.6223 0.6451
0.05294 0.6355 0.6595
0.05304 0.6211 0.6463
0.05314 0.6115 0.6367
0.05324 0.6349 0.6601
0.05334 0.6391 0.6613
0.05344 0.6811 0.7003
0.05354 0.6373 0.6619
0.05364 0.6372 0.6624
0.05374 0.6241 0.6469
0.05384 0.6085 0.6349
0.05394 0.6295 0.6529
0.05404 0.6295 0.6547
0.05414 0.6187 0.6439
0.05423 0.6379 0.6601
0.05433 0.6271 0.6517
0.05443 0.6397 0.6625
0.05453 0.6205 0.6445
0.05463 0.6127 0.6391
0.05473 0.6289 0.6523
0.05483 0.6246 0.6462
0.05493 0.6301 0.6553
0.05503 0.6139 0.6397
0.05513 0.6379 0.6607
0.05523 0.6283 0.6529
0.05533 0.6157 0.6391
0.05543 0.6061 0.6331
0.05553 0.6451 0.6685
0.05563 0.6061 0.6307
0.05572 0.6247 0.6511
0.05582 0.6157 0.6373
0.05592 0.6349 0.6613
0.05602 0.6079 0.6337
0.05612 0.6216 0.6444
0.05622 0.6373 0.6625
0.05632 0.6325 0.6553
0.05642 0.6205 0.6475
0.05652 0.6301 0.6541
0.05662 0.6775 0.6991
0.05672 0.6457 0.6667
0.05682 0.6301 0.6559
0.05692 0.6379 0.6589
0.05702 0.6163 0.6433
0.05712 0.6277 0.6511
0.05721 0.6313 0.6565
0.05731 0.6432 0.6672
0.05741 0.6337 0.6565
0.05751 0.6331 0.6577
0.05761 0.6409 0.6601
0.05771 0.6259 0.6511
0.05781 0.6277 0.6529
0.05791 0.6151 0.6427
0.05801 0.6391 0.6613
0.05811 0.6307 0.6547
0.05821 0.6469 0.6685
0.05831 0.6307 0.6535
0.05841 0.6193 0.6451
0.05851 0.6402 0.6606
0.05861 0.6055 0.6313
0.05870 0.6361 0.6583
0.05880 0.6247 0.6493
0.05890 0.6211 0.6475
0.05900 0.6331 0.6571
0.05910 0.6067 0.6337
0.05920 0.6397 0.6631
0.05930 0.6289 0.6541
0.05940 0.6247 0.6469
0.05950 0.6151 0.6439
0.05960 0.6229 0.6463
0.05970 0.6361 0.6577
0.05980 0.6264 0.6540
0.05990 0.6751 0.6949
0.06000 0.6403 0.6625
0.06010 0.6295 0.6511
0.06019 0.6313 0.6571
0.06029 0.6313 0.6565
0.06039 0.6421 0.6643
0.06049 0.6241 0.6487
0.06059 0.6121 0.6397
0.06069 0.6565 0.6769
0.06079 0.6031 0.6283
0.06089 0.6343 0.6595
0.06099 0.6252 0.6516
0.06109 0.6319 0.6547
0.06119 0.6211 0.6463
0.06129 0.6211 0.6451
0.06139 0.6385 0.6607
0.06149 0.6241 0.6487
0.06159 0.6235 0.6493
0.06168 0.6235 0.6475
0.06178 0.6199 0.6463
0.06188 0.6415 0.6649
0.06198 0.6361 0.6619
0.06208 0.6313 0.6541
0.06218 0.6427 0.6679
0.06228 0.6264 0.6492
0.06238 0.6403 0.6625
0.06248 0.6049 0.6325
0.06258 0.6115 0.6355
0.06268 0.6349 0.6595
0.06278 0.6193 0.6457
0.06288 0.6504 0.6726
0.06298 0.6211 0.6457
0.06308 0.6337 0.6595
0.06317 0.6439 0.6637
0.06327 0.7003 0.7213
0.06337 0.6571 0.6775
0.06347 0.6271 0.6511
0.06357 0.6103 0.6385
0.06367 0.6211 0.6445
0.06377 0.6295 0.6529
0.06387 0.6439 0.6679
0.06397 0.6631 0.6811
0.06407 0.6265 0.6517
0.06417 0.6373 0.6619
0.06427 0.6343 0.6607
0.06437 0.6493 0.6703
0.06447 0.6553 0.6781
0.06457 0.6217 0.6451
0.06466 0.6361 0.6601
0.06476 0.6547 0.6757
0.06486 0.6289 0.6547
0.06496 0.6427 0.6649
0.06506 0.6343 0.6607
0.06516 0.6409 0.6649
0.06526 0.6301 0.6541
0.06536 0.6246 0.6510
0.06546 0.6451 0.6673
0.06556 0.6163 0.6427
0.06566 0.6331 0.6577
0.06576 0.6313 0.6577
0.06586 0.6109 0.6343
0.06596 0.6457 0.6697
0.06606 0.6367 0.6607
0.06615 0.6289 0.6547
0.06625 0.6193 0.6469
0.06635 0.6397 0.6619
0.06645 0.6499 0.6727
0.06655 0.6277 0.6511
